society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
orris carnation residency,flat,sector 85,1.1,6686.0,3,4,3,6.0,Moderately Old,1472.8561088400002,0,1,0,0,0,2,65
indiabulls enigma,flat,sector 110,3.79,9895.0,5,5,3,4.0,Relatively New,3415.19844657,0,1,0,0,1,0,125
supertech araville,flat,sector 79,1.1,5641.0,3,3,3,1.0,Relatively New,2139.0136410100004,0,0,0,0,0,1,106
nirvana country,house,sector 50,10.0,14285.0,5,7,2,4.0,Moderately Old,7000.0,0,1,0,0,0,2,0
godrej air,flat,sector 85,2.6,12212.0,3,3,3,17.0,Under Construction,2129.0,0,1,0,0,0,0,44
pivotal devaan,flat,sector 84,0.34,7039.0,2,2,1,1.0,Relatively New,669.6033160000001,0,0,1,0,0,1,84
sanskriti apartment,flat,sector 10a,1.1,6666.0,3,3,3,2.0,Moderately Old,1838.52073201,0,0,0,0,0,0,22
tulip orange,flat,sector 70,1.0,10309.0,3,2,2,3.0,Moderately Old,1157.40347161,0,0,0,0,0,0,58
independent,house,sector 25,4.35,32222.0,5,4,3,3.0,Old Property,1350.0,0,1,0,0,0,0,49
paras dews,flat,sector 106,0.92,6642.0,2,2,3+,2.0,Relatively New,940.0,0,0,0,0,0,0,174
oriental valley chs,flat,sector 9a,1.5,8108.0,4,3,3+,8.0,Moderately Old,2038.84933801,0,0,0,0,0,0,35
bestech park view sanskruti,flat,sector 92,1.83,7870.0,4,3,3,8.0,New Property,2066.9444373700003,0,1,0,0,0,0,128
essel towers,flat,sector 14,2.2,12500.0,3,4,3+,3.0,Old Property,1948.7014653100002,0,0,0,0,0,0,0
signature global park 4,flat,sector 36 road,0.85,11333.0,3,2,3,1.0,New Property,937.04200501,0,0,0,0,0,0,33
dlf regal gardens,flat,sector 90,1.3,7150.0,3,3,3+,7.0,Relatively New,1700.0,0,0,0,0,0,0,141
ansal sushant lok plots,house,sector 43,5.8,29974.0,6,6,3,2.0,Relatively New,1935.0,0,1,0,0,1,1,49
shree vardhman flora,flat,sector 90,1.27,4951.0,4,5,2,9.0,New Property,2214.96026919,1,1,0,0,0,0,83
shree vardhman flora,flat,sector 90,0.65,6789.0,2,2,3,9.0,Relatively New,1050.0,1,0,0,0,0,0,67
dlf trinity towers,flat,sector 43,3.8,15510.0,3,3,3+,1.0,Moderately Old,2450.0,0,1,0,0,0,1,68
independent,house,sector 104,0.6,5128.0,7,3,1,2.0,Moderately Old,1170.0,0,0,0,0,0,0,0
m3m woodshire,flat,sector 107,1.2,6176.0,3,3,3,7.0,Relatively New,1750.0,0,0,0,0,0,1,49
independent,house,new sector 2,1.0,8796.0,3,2,2,1.0,Old Property,120.0,0,0,0,0,0,0,0
antriksh heights,flat,sector 84,0.9,6206.0,3,3,3+,12.0,Relatively New,1525.0,0,0,0,0,0,0,166
experion the heartsong,flat,sector 108,0.93,6079.0,2,3,3,10.0,Relatively New,1133.46890409,0,0,0,0,0,0,81
"nirmal enclave, maruti kunj road",house,sector 11,0.24,5333.0,2,2,0,2.0,Relatively New,450.0,0,0,0,0,0,0,0
independent,house,sector 51,2.25,2778.0,6,3,3+,3.0,Relatively New,900.0,0,0,0,0,0,0,54
hcbs sports ville,flat,sohna road road,0.25,4166.0,1,1,1,12.0,Relatively New,600.0,0,0,0,0,0,0,37
sobha city,flat,sector 108,3.35,13266.0,3,4,2,19.0,New Property,2525.0,0,0,0,0,0,0,102
tulip violet,flat,sector 69,1.36,8618.0,3,3,2,12.0,Relatively New,1397.7446068900001,0,0,0,0,0,1,49
m3m heights,flat,sector 65,2.1,16653.0,2,2,3,8.0,New Property,1050.44218206,0,0,0,0,0,0,31
ramprastha the edge towers,flat,sector 37d,0.75,5319.0,2,2,3,19.0,Moderately Old,1410.0,0,0,0,0,0,0,63
tulip violet,flat,sector 69,1.7,8432.0,4,4,2,10.0,New Property,1784.75173777,0,0,0,0,0,0,125
m3m woodshire,flat,sector 107,1.8,7623.0,3,4,3+,2.0,Relatively New,1835.63935882,0,1,0,0,0,0,129
alpha corp gurgaonone,flat,sector 84,1.15,7496.0,2,2,3,8.0,Relatively New,1373.0542912200003,1,0,0,0,0,1,37
rk excelo,house,sector 12,0.6,13333.0,5,3,2,3.0,Moderately Old,30.0,0,0,0,0,1,0,0
raheja vedaanta,flat,sector 108,0.7,4651.0,2,2,2,12.0,Relatively New,1505.0,0,0,0,0,0,0,0
imperia elvedor,flat,sector 37c,0.55,8221.0,1,1,0,5.0,Relatively New,669.0,0,0,0,0,0,0,0
sahara grace,flat,sector 28,5.5,14612.0,4,5,3+,5.0,Moderately Old,3356.07235713,0,1,0,0,1,1,8
raisina residency,flat,sector 59,5.0,13058.0,4,4,3+,13.0,Relatively New,4021.1008943800007,1,1,1,0,0,1,174
vatika lifestyle homes,flat,sector 83,1.15,8214.0,3,3,1,7.0,Moderately Old,1606.7002203800002,0,0,0,0,0,1,95
ansal api esencia,flat,sector 67,1.2,7407.0,3,3,2,1.0,Relatively New,366.10547791,0,0,0,0,0,0,49
emaar mgf the palm drive,flat,sector 66,3.0,14285.0,4,5,3+,10.0,Relatively New,2100.0,0,1,0,0,0,1,49
ss the leaf,flat,sector 85,1.77,7350.0,3,4,3+,7.0,New Property,2141.29997409,0,0,1,0,0,0,107
senate court,flat,sector 62,0.9,14084.0,1,1,0,0.0,Relatively New,639.0,0,0,0,0,0,0,0
om appartments,flat,sector 3 phase 2,0.4,4444.0,3,2,1,3.0,Relatively New,1087.28845951,0,0,0,0,0,0,7
"bhim nagar, sector 6",house,sector 6,0.85,14096.0,5,2,2,1.0,Old Property,67.0,0,0,0,0,0,0,29
orris carnation residency,flat,sector 85,0.55,5788.0,2,2,2,5.0,Relatively New,1050.0,0,0,0,0,1,0,174
dlf park place,flat,sector 54,5.75,24689.0,3,4,3,12.0,Relatively New,2329.0,0,1,0,0,0,2,174
emaar mgf palm studios,flat,sector 66,1.45,14795.0,2,2,3,3.0,Relatively New,1107.8915356000002,0,0,0,0,0,0,92
central park flower valley,flat,sector 33 road,2.2,10476.0,3,3,3,12.0,New Property,1865.3782233700001,0,1,0,0,0,1,49
conscient heritage max,flat,sector 102,1.82,9371.0,3,4,3+,15.0,Moderately Old,1723.8339486500001,0,1,0,0,0,0,125
ireo skyon,flat,sector 60,3.05,12788.0,3,3,3,9.0,Relatively New,2300.0,0,1,0,0,0,1,165
takshila heights sector 37 c,flat,new,0.67,5583.0,2,2,2,3.0,Relatively New,1059.11336737,0,0,0,0,0,0,23
sheetla enclave,house,sector 5,0.96,10000.0,7,4,2,3.0,Moderately Old,945.0,0,0,1,0,0,1,0
rk tower,flat,sector 2,0.95,9595.0,2,2,1,1.0,Relatively New,1177.4363322100003,0,0,0,0,0,0,99
independent,house,sector 25,6.5,36111.0,4,4,3+,2.0,Moderately Old,1800.0,1,1,1,0,0,0,61
godrej oasis,flat,sector 88a,1.15,9856.0,2,2,1,12.0,New Property,294.38783696200005,1,0,0,0,0,0,79
tulip violet,flat,sector 69,3.05,9664.0,4,5,3+,14.0,Relatively New,2811.39565441,0,1,0,0,1,0,49
godrej nature plus,flat,sector 33 road,1.25,9025.0,2,2,3,17.0,Under Construction,1385.0,0,0,0,0,0,0,56
ansal estella,flat,sector 103,1.5,8670.0,3,3,3+,6.0,Under Construction,1723.7788709150002,0,0,0,0,0,0,58
la vida by tata housing,flat,sector 113,2.78,10334.0,3,4,3+,5.0,Relatively New,2350.0,0,1,0,0,0,0,174
green campus chs,flat,manesar,0.9,3935.0,3,3,3+,6.0,Moderately Old,2032.90214345,0,1,0,0,0,0,5
independent,house,sector 31,3.5,24155.0,4,4,3,2.0,Old Property,1449.0,0,0,1,0,0,1,70
signature global park,flat,sohna road road,0.79,7308.0,3,2,3+,4.0,Under Construction,952.50723641,0,0,0,0,0,0,109
shapoorji pallonji joyville gurugram,flat,sector 102,2.0,10799.0,3,3,3,9.0,Relatively New,1643.2074630500001,0,0,0,0,0,0,49
m3m skycity,flat,sector 65,3.5,17039.0,3,3,3,15.0,New Property,2243.18451613,1,1,0,0,0,1,166
independent,house,sector 24,6.5,22855.0,4,4,2,2.0,Old Property,2844.0,0,0,0,0,0,0,35
sobha city,flat,sector 108,2.4,17378.0,2,2,2,14.0,New Property,1221.2621884100001,0,0,0,0,0,1,113
independent,house,sector 105,1.3,11555.0,3,3,1,2.0,Moderately Old,1125.0,0,0,0,0,0,0,16
breez global heights,flat,sohna road road,0.28,7142.0,1,1,1,4.0,New Property,585.4653014800001,0,0,0,0,0,2,26
ss the leaf,flat,sector 85,2.2,6934.0,4,5,3+,4.0,Relatively New,2503.22330945,0,0,0,0,0,0,106
independent,house,sector 40,5.0,21124.0,9,9,3+,3.0,Relatively New,2367.0,0,0,0,0,0,1,66
emaar gurgaon greens,flat,sector 102,1.3,7878.0,3,3,3,7.0,Relatively New,1402.476613765,0,1,0,0,0,0,93
sare crescent parc,flat,sector 92,0.9,4260.0,4,5,3+,3.0,Relatively New,1771.3139901700001,0,1,0,0,0,0,0
conscient habitat,flat,sector 99a,0.35,6422.0,2,2,1,3.0,Relatively New,731.70518386,0,0,0,0,0,0,62
unitech harmony,flat,sector 50,2.6,9590.0,3,4,2,15.0,Relatively New,2700.0,0,1,0,0,1,1,174
shapoorji pallonji joyville gurugram,flat,sector 102,0.95,10383.0,2,2,2,14.0,Relatively New,915.0,0,0,0,0,0,0,0
pyramid urban homes 2,flat,sector 86,0.5,8319.0,2,2,1,2.0,Relatively New,787.7971935400001,0,0,0,0,0,0,35
godrej oasis,flat,sector 88a,1.38,6679.0,3,3,3+,7.0,Relatively New,2255.2042324900003,0,1,0,0,0,0,72
pyramid urban homes 2,flat,sector 86,0.41,6905.0,2,2,1,3.0,Relatively New,787.7971935400001,0,0,0,0,0,0,63
smart world gems,flat,sector 89,1.13,8500.0,3,3,2,4.0,Under Construction,1513.98839029,1,0,0,0,0,0,115
la vida by tata housing,flat,sector 113,3.35,12444.0,4,4,3+,11.0,Relatively New,2882.23276927,1,1,0,0,0,0,174
ss the leaf,flat,sector 85,1.75,7267.0,3,4,3,8.0,Relatively New,2141.29997409,0,1,0,0,0,0,49
dlf the arbour,flat,sector 63,7.9,20000.0,4,4,3+,34.0,Under Construction,3950.0,0,0,0,0,0,0,61
independent,house,sector 92,1.8,7627.0,4,5,0,13.0,Relatively New,2360.0,0,0,0,0,0,0,0
emaar mgf emerald floors,flat,sector 65,3.2,10159.0,4,3,2,1.0,Relatively New,3150.0,0,1,0,0,0,0,0
bestech park view sanskruti,flat,sector 92,1.55,7568.0,3,4,3,16.0,Relatively New,1771.3139901700001,0,1,0,0,0,1,60
dlf the skycourt,flat,sector 86,1.58,8190.0,3,3,1,16.0,Relatively New,1750.0,0,0,0,0,0,1,152
smart world orchard,flat,sector 61,2.45,15800.0,3,3,3,3.0,New Property,1249.24405356555,1,1,0,0,0,0,119
signature global synera,flat,sector 81,0.49,6666.0,2,2,3,5.0,Relatively New,700.0,0,0,0,0,0,0,117
bptp terra,flat,sector 37d,1.45,8006.0,3,3,3,9.0,Relatively New,1606.4776196100001,0,0,0,0,0,0,107
bestech park view sanskruti,flat,sector 92,2.0,8333.0,4,5,3+,12.0,Relatively New,2395.53745894,0,1,0,0,0,1,60
emaar palm gardens,flat,sector 83,1.8,9473.0,3,4,3,4.0,Relatively New,1559.19622969995,1,1,1,0,0,1,174
vatika signature villas,house,sector 82,5.0,15432.0,4,4,3+,3.0,Relatively New,3240.0,0,1,1,0,0,0,24
maa bhagwati residency,flat,sector 7,0.45,5000.0,2,2,1,4.0,Relatively New,1087.28845951,0,0,0,0,0,0,28
eros rosewood city,house,sector 49,3.75,22046.0,3,3,1,2.0,Old Property,1701.0,0,0,0,0,0,1,6
bestech park view residency,flat,sector 2,0.56,8632.0,1,1,2,6.0,Moderately Old,837.8793450400001,0,0,0,0,0,0,77
international city by sobha phase 1,house,sector 109,6.3,9000.0,4,5,3+,2.0,Relatively New,7000.0,0,0,0,0,0,1,122
independent,house,sector 50,13.2,27155.0,6,6,0,2.0,Moderately Old,4861.0,0,0,0,0,0,0,0
shree vardhman victoria,flat,sector 70,1.8,9230.0,3,3,3+,10.0,New Property,1731.00074737,0,0,0,0,1,1,49
godrej oasis,flat,sector 88a,1.5,8108.0,3,3,2,3.0,Relatively New,2038.84933801,0,0,0,0,0,0,47
pioneer araya,flat,sector 62,8.35,19513.0,4,6,3,16.0,Relatively New,3817.4350247300004,0,1,0,0,0,0,153
experion windchants,flat,sector 112,5.6,11529.0,4,6,3+,15.0,Moderately Old,3662.34,0,1,0,0,0,1,157
krrish provence estate,flat,gwal pahari,5.25,9051.0,4,5,3+,2.0,New Property,5180.0226313699995,1,1,0,0,0,0,49
godrej oasis,flat,sector 88a,1.15,7116.0,2,2,3,14.0,Relatively New,1393.7578461800001,1,0,0,0,0,0,174
pooja apartment,flat,sector 3 phase 3 extension,0.25,3571.0,2,2,2,2.0,Relatively New,886.9598535100001,0,0,0,0,0,0,0
experion windchants,flat,sector 112,4.75,12622.0,3,5,3+,4.0,Relatively New,3355.1765072900002,0,1,0,0,0,1,42
ambience creacions,flat,sector 22,2.0,14492.0,2,2,2,9.0,Relatively New,1568.0771139100002,0,0,0,0,0,0,49
mittal surya vihar,flat,sector 21,1.4,5833.0,5,4,2,2.0,Moderately Old,2134.13317537,0,0,0,0,0,0,0
vipul tatvam villa,house,sector 48,7.35,22812.0,4,5,2,2.0,Moderately Old,3222.0,1,1,1,0,0,1,144
sare homes,flat,sector 92,0.95,4750.0,4,3,2,17.0,New Property,1983.0,0,0,0,0,0,0,7
m3m skywalk,flat,sector 74,1.54,11000.0,2,2,3+,22.0,Relatively New,1200.0,0,0,0,0,1,0,137
suncity platinum towers,flat,sector 28,6.2,23091.0,3,4,3+,21.0,Relatively New,2000.0,0,1,0,0,0,1,160
godrej summit,flat,sector 104,1.1,8669.0,2,2,3,16.0,Under Construction,1120.92700633,0,0,0,0,1,0,88
signature global orchard avenue,flat,sector 93,0.4,7359.0,2,2,2,11.0,New Property,730.2797957461586,0,0,0,0,0,0,37
shyam apartment,flat,sector 3,0.26,3714.0,2,1,2,2.0,Relatively New,663.93449289,0,0,0,0,0,0,0
vatika sovereign park,flat,sector 99,2.45,8812.0,3,4,3,1.0,New Property,2474.5561145700003,0,1,0,0,0,1,165
shree vardhman flora,flat,sector 90,0.75,5769.0,2,2,3,8.0,Relatively New,1487.9456715100002,0,0,0,0,0,0,60
tulip yellow,flat,sector 69,1.8,10563.0,3,3,3,14.0,Under Construction,1892.6094556300002,0,0,0,0,0,0,49
godrej summit,flat,sector 104,1.35,5014.0,4,5,3+,0.0,Relatively New,2882.23276927,1,1,1,0,0,0,88
ramsons kshitij,flat,sector 95,0.17,544.0,1,1,1,12.0,Relatively New,3403.08714487,0,0,0,0,0,0,56
cancon enclave,flat,sector 4,1.05,7777.0,3,2,2,2.0,New Property,1538.0278230100002,0,0,0,0,0,1,0
bestech park view residency,flat,sector 2,1.26,8051.0,2,2,3,7.0,Moderately Old,1386.09855897,1,0,0,0,0,0,84
ats tourmaline,flat,sector 109,1.4,8000.0,3,3,3+,9.0,Relatively New,1551.83077937,0,0,0,0,0,0,95
signature global city,flat,sector 37d,0.68,11724.0,2,2,3,9.0,New Property,766.7626899100001,0,0,0,0,1,0,58
dlf the primus,flat,sector 82a,1.85,10283.0,3,3,3+,2.0,Relatively New,1661.03206709,0,0,0,0,0,1,44
rof ananda,flat,sector 95,0.2,5463.0,1,1,1,9.0,Relatively New,552.4914523250841,0,0,0,0,0,0,52
sare green parc phase 3,flat,sector 92,1.1,6875.0,4,3,2,12.0,New Property,1788.43858051,0,0,0,0,0,0,15
tulip monsella,flat,sector 53,5.6,19363.0,3,3,3+,1.0,Under Construction,2574.89129665,0,0,0,0,0,0,42
ss the leaf,flat,sector 85,1.15,11966.0,2,2,3,20.0,Relatively New,1263.0,0,0,0,0,0,0,107
unitech the residences,flat,sector 33,1.35,8737.0,3,4,2,8.0,Moderately Old,1368.18156217,0,1,0,0,0,0,49
zara aavaas,flat,sector 104,0.2,6645.0,1,1,1,3.0,Relatively New,301.0,0,0,0,0,0,0,67
ansal api esencia,flat,sector 67,1.0,6435.0,3,3,3+,2.0,Moderately Old,1376.24421073,0,0,0,0,0,0,9
independent,house,sector 3,0.37,7916.0,1,1,1,1.0,Relatively New,480.0,0,0,0,0,0,0,0
ats tourmaline,flat,sector 109,1.5,6976.0,3,4,3+,4.0,Relatively New,1797.0,0,1,0,0,0,0,39
tulip violet,flat,sector 69,1.76,8756.0,4,4,2,6.0,Relatively New,1784.75173777,0,0,0,0,0,0,108
emaar gurgaon greens,flat,sector 102,1.45,14179.0,3,3,3,10.0,Relatively New,1336.1578287487,0,1,0,0,0,0,165
emaar mgf the palm drive,flat,sector 66,2.8,14358.0,3,3,2,12.0,New Property,1950.0,1,1,0,0,0,2,69
chd avenue,flat,sector 71,1.0,6734.0,3,3,3+,3.0,Relatively New,1314.4305717700001,0,0,0,0,0,1,7
independent,house,sector 7,0.89,18658.0,5,3,2,2.0,Old Property,477.0,0,0,0,0,0,0,8
sidhivinayak apartments,flat,sector 55,1.9,10555.0,4,3,3+,9.0,Moderately Old,1988.76718651,0,0,0,0,0,2,35
bestech park view city,flat,sector 48,2.65,10323.0,4,4,3+,11.0,Moderately Old,2111.21256683,1,1,0,0,0,1,174
mariners home,flat,sector 56,2.11,8612.0,3,2,3,4.0,Relatively New,2250.0,0,0,0,0,1,1,126
emaar digihomes,flat,sector 62,3.95,15262.0,3,3,3,33.0,New Property,2778.0618941500006,0,1,0,0,0,1,49
kamroon court,flat,sector 43,2.75,13750.0,3,4,3+,5.0,Moderately Old,2189.09579251,0,1,0,0,1,1,49
sidhartha ncr one,flat,sector 95,0.55,5556.0,2,2,3,15.0,New Property,990.0,0,0,0,0,0,0,0
independent,house,sector 14,5.5,16975.0,5,4,2,2.0,Old Property,3240.0,1,0,0,0,0,0,27
eldeco accolade,flat,sohna road road,0.73,5752.0,2,2,3,9.0,Relatively New,1120.92700633,0,0,0,0,0,0,103
today callidora,flat,sector 73,0.9,5548.0,3,3,3,3.0,Under Construction,1622.0,0,1,0,0,0,0,63
emaar mgf palm terraces select,flat,sector 66,3.4,14107.0,4,4,3+,2.0,Relatively New,2210.0,0,1,0,0,0,1,157
aipl zen residences,flat,sector 70a,1.34,10276.0,2,2,3+,17.0,New Property,1152.28175073,0,0,0,0,0,1,110
pivotal devaan,flat,sector 84,0.41,7032.0,2,2,2,10.0,New Property,565.0,0,0,0,0,0,1,23
vipul tatvam villa,house,sector 48,5.5,21219.0,3,6,2,2.0,Moderately Old,2592.0,0,1,0,0,1,1,106
sare petioles,flat,sector 92,1.22,5250.0,4,3,3,9.0,Under Construction,2093.0,0,1,0,0,0,0,99
afnhb jalvayu vihar,flat,sector 30,1.45,11153.0,3,2,2,2.0,Old Property,1300.0,0,0,0,0,0,2,75
ats triumph,flat,sector 104,2.0,8733.0,3,4,3+,4.0,Relatively New,2035.5896929700002,0,1,0,0,0,0,60
shapoorji pallonji joyville gurugram,flat,sector 102,0.95,10383.0,2,2,2,14.0,Relatively New,915.0,0,0,0,0,0,0,0
tulip violet,flat,sector 69,1.4,8856.0,3,3,2,9.0,Relatively New,1397.7446068900001,0,0,0,0,0,0,120
antriksh heights,flat,sector 84,0.88,4821.0,3,3,3,16.0,Relatively New,1619.0195173700001,0,0,0,0,0,0,67
bestech park view spa next,flat,sector 67,2.72,11574.0,4,4,3+,0.0,Relatively New,2250.0,0,1,0,0,0,1,128
bptp terra,flat,sector 37d,1.65,8790.0,3,3,2,15.0,Relatively New,1665.6037090500001,0,0,0,0,0,0,116
m3m sky lofts,flat,sector 71,0.9,13177.0,1,1,0,6.0,New Property,683.0,0,0,0,0,0,0,77
bptp terra,flat,sector 37d,1.45,8006.0,3,3,3,8.0,Relatively New,1711.0,0,0,0,0,0,0,149
hcbs sports ville,flat,sector 2,0.35,4375.0,2,2,2,8.0,Relatively New,800.0,0,0,0,0,0,0,37
chd avenue,flat,sector 71,1.2,7407.0,3,3,3,4.0,Relatively New,1435.37030017,0,0,0,0,1,1,49
signature global city,house,sector 37d,1.27,8089.0,3,3,3,4.0,Under Construction,1570.0,0,0,0,0,0,0,89
ss the leaf,flat,sector 85,2.0,8305.0,3,4,3,8.0,Relatively New,2141.29997409,0,1,0,0,0,0,21
ss the leaf,flat,sector 85,1.3,7926.0,2,2,2,17.0,New Property,1453.2872969700002,0,0,0,0,0,0,90
bestech park view grand spa,flat,sector 81,4.2,10000.0,4,4,3+,25.0,Relatively New,3418.61870344,0,1,0,0,0,1,90
ats tourmaline,flat,sector 109,1.65,7674.0,3,3,3+,16.0,Relatively New,1910.1707153700002,0,1,0,0,0,1,49
emaar gurgaon greens,flat,sector 102,1.35,8181.0,3,3,3,9.0,Relatively New,1336.1578287487,0,1,0,0,0,0,100
shapoorji pallonji joyville gurugram,flat,sector 102,1.2,14563.0,2,2,3,0.0,Relatively New,1106.35854058,0,0,0,0,0,0,49
huda housing board colony,house,sector 31,4.6,31507.0,6,4,3+,3.0,Old Property,1460.0,0,0,0,0,1,0,8
independent,house,sector 105,1.2,13333.0,7,4,1,2.0,Moderately Old,900.0,0,0,0,0,1,0,14
eldeco accolade,flat,sohna road road,0.72,5735.0,2,2,3,8.0,Relatively New,1451.8865224300002,0,0,0,0,0,0,153
signature global park,flat,sohna road road,0.68,8252.0,2,2,2,3.0,New Property,1011.1635892300001,0,0,0,0,0,0,113
imperia the esfera,flat,sector 37c,0.85,5386.0,2,3,3,9.0,Relatively New,1447.8533543500002,1,0,0,0,0,0,49
antriksh heights,flat,sector 84,0.85,4927.0,3,3,3+,10.0,Relatively New,1529.43453337,1,0,0,0,0,0,52
international city by sobha phase 1,house,sector 109,5.7,10556.0,4,5,3+,3.0,Relatively New,5400.0,1,1,1,0,0,0,160
shree vardhman victoria,flat,sector 70,1.64,8384.0,3,5,3,3.0,Relatively New,1539.8590188550002,0,1,0,0,0,0,51
antriksh heights,flat,sector 84,0.85,5556.0,2,2,3,10.0,New Property,1193.49084337,1,0,0,0,1,0,24
vatika independent floors,flat,sector 82,1.16,6987.0,3,3,3+,1.0,Relatively New,1848.5371623100002,0,1,1,0,0,1,151
sidhartha ncr one phase,flat,sector 95,0.43,3152.0,2,2,2,6.0,Relatively New,1300.0,0,0,0,0,0,0,120
ambience creacions,flat,sector 22,3.2,11500.0,3,4,3+,2.0,New Property,2475.45196441,0,0,0,0,0,0,42
green court,flat,sector 90,0.45,7188.0,2,2,1,2.0,New Property,812.8382692900001,0,0,0,0,0,1,42
parsvnath green ville,flat,sector 48,1.75,7201.0,3,3,3,7.0,Old Property,2200.0,0,1,0,0,0,1,109
chd avenue,flat,sector 71,0.95,7929.0,2,2,2,5.0,Moderately Old,1057.3216676900001,0,0,0,0,0,1,142
mapsko casa bella,flat,sector 82,1.75,6903.0,4,5,3+,1.0,Relatively New,2535.0,0,0,0,0,0,0,54
signature global grand iva,flat,sector 103,0.3,8290.0,1,2,2,5.0,New Property,548.2866340149435,0,0,0,0,0,0,37
ats tourmaline,flat,sector 109,1.4,8000.0,3,3,3+,8.0,Relatively New,1466.0,0,0,1,0,0,0,119
independent,house,sector 25,9.9,29333.0,5,5,2,2.0,Moderately Old,3375.0,0,0,0,0,0,1,106
global height,flat,sohna road road,0.45,6338.0,2,2,2,6.0,Relatively New,896.97628381,0,0,0,0,0,2,49
micasa sec 68,flat,sohna road road,1.5,12244.0,2,2,3,11.0,New Property,1412.82244426,0,0,0,0,0,0,44
hsiidc sidco shivalik apartments,flat,manesar,0.73,3560.0,3,3,3+,2.0,Moderately Old,1704.3478529400002,0,1,0,0,0,0,80
antriksh heights,flat,sector 84,0.84,4869.0,3,3,3+,8.0,New Property,1529.43453337,0,0,0,0,0,0,60
tulip violet,flat,sector 69,1.3,8445.0,3,3,1,12.0,Relatively New,1361.9106132900001,0,0,0,0,0,1,94
emaar mgf palm hills,flat,sector 77,1.09,5382.0,3,4,3+,5.0,Relatively New,1798.18948537,0,1,0,0,1,1,167
ramprastha primera,flat,sector 37d,1.2,13333.0,3,3,3,5.0,Relatively New,1087.28845951,0,0,1,0,0,0,50
silverglades hightown residences,flat,sector 43,4.2,19767.0,3,4,2,7.0,Under Construction,2125.0,0,0,0,0,0,0,42
satya element one,flat,sector 49,0.94,14009.0,1,2,2,2.0,Moderately Old,857.91220564,0,0,0,0,0,0,0
emaar mgf emerald floors premier,flat,sector 65,2.85,14430.0,4,4,3,3.0,Relatively New,2164.0547167600002,1,1,0,0,0,0,28
dlf city plots phase 2,house,sector 25,15.5,34307.0,5,6,3+,3.0,Moderately Old,4518.0,1,1,1,0,0,0,144
sbtl caladium,flat,sector 109,1.68,6601.0,3,3,3+,7.0,Moderately Old,2264.03140217,0,1,0,0,0,0,134
ireo uptown,flat,sector 66,4.85,12999.0,4,4,3+,15.0,Relatively New,3500.0,1,1,1,0,0,1,156
pivotal devaan,flat,sector 84,0.36,7588.0,2,2,1,9.0,Relatively New,586.987023015,0,0,1,0,0,2,80
rof ananda,flat,sector 95,0.55,5500.0,3,2,2,14.0,New Property,905.988594615,1,0,0,0,0,2,30
breez global heights 88a,flat,sector 88a,0.5,8375.0,3,2,2,2.0,Under Construction,783.7906214200001,0,0,0,0,0,0,15
guru gram haryana cghs,flat,sector 56,1.38,7225.0,3,3,3,5.0,Moderately Old,1910.0,1,0,0,0,0,1,134
professors enclave cghs,flat,sector 56,1.54,8324.0,3,3,2,6.0,Old Property,1920.0,0,1,0,0,0,1,104
m3m skywalk,flat,sector 74,1.48,12333.0,2,2,3,13.0,Relatively New,1300.0,0,0,1,0,0,0,158
independent,house,sector 7,1.16,11717.0,5,4,2,1.0,Old Property,295.99046581000005,0,0,0,0,0,0,0
imperia the esfera,flat,sector 37c,0.95,5703.0,2,2,0,17.0,Under Construction,1578.0,0,1,0,0,0,0,66
m3m capital,flat,sector 113,2.0,12012.0,3,3,2,24.0,Under Construction,1475.6835429700002,0,0,0,0,0,0,47
supertech araville,flat,sector 79,0.8,6178.0,2,2,3+,9.0,New Property,1144.21910217,0,0,0,0,1,0,24
imperia the esfera,flat,sector 37c,0.98,5399.0,3,4,3,9.0,Relatively New,1654.1758633900001,0,1,0,0,1,0,49
laxmi apartment sector 99a gurgaon,flat,sector 99a,0.3,4615.0,2,2,1,4.0,New Property,651.5546771900001,0,0,0,0,0,0,44
dlf new town heights,flat,sector 90,1.42,4864.0,4,4,3+,8.0,Moderately Old,2101.8825811300003,0,1,1,0,0,0,31
mrg skyline,flat,sector 106,1.82,13392.0,3,2,2,4.0,Relatively New,1359.0,0,0,0,0,0,0,0
kiran residency,flat,sector 56,1.5,6648.0,3,5,3+,4.0,Moderately Old,2250.0,1,0,0,0,0,1,134
bptp visionnaire,house,sector 70a,5.4,20690.0,4,5,3+,3.0,Relatively New,2610.0,1,1,1,0,0,1,136
capital residences 360,flat,sector 70a,1.1,7586.0,2,2,2,10.0,Relatively New,1283.07582737,1,0,0,0,0,0,42
independent,house,sector 4,0.55,4074.0,3,3,2,2.0,Relatively New,1350.0,0,0,0,0,1,0,7
ansal heights 86,flat,sector 86,0.82,6029.0,2,2,1,12.0,New Property,1300.0,0,0,0,0,0,0,49
raheja atharva,flat,sector 109,0.79,7931.0,3,2,2,3.0,Relatively New,1236.3964833200002,0,0,0,0,0,1,44
supertech araville,flat,sector 79,1.45,7455.0,3,3,3,3.0,Relatively New,2134.0054258600003,0,0,0,0,0,0,0
gls arawali homes,flat,sohna road road,0.27,4600.0,2,2,2,5.0,New Property,500.10306720999995,0,0,0,0,0,0,42
